house_name,house_location,house_status,house_price,price_unit
橡树城,[ 溧水 溧水 ] 红光东路8号,在售,11120,元/㎡
明发北站新城,"[ 南京周边 滁州 ] 104国道,近长江路",在售,11900,元/㎡
绿城桃花源,[ 江宁 汤山 ] 宁杭公路,在售,30000,元/㎡
雅居乐山湖城,[ 南京周边 其他 ] 金坛茅山旅游度假区内,在售,280,万元/套起
碧桂园十里春风,"[ 南京周边 滁州 ] 红琊山路,近丰山路",在售,5500,元/㎡
平澜府,[ 高淳 高淳 ] 湖滨大道与励志路交叉口（湖滨广场北面...,待售,11000,元/m²
当代万国府ΜΟΜΛ,[ 鼓楼 鼓楼滨江 ] 热河南路与江边路交汇处,在售,48800,元/㎡
万悦城,[ 高淳 高淳 ] 茅山路88号,在售,6797,元/㎡起
绿地海悦,[ 浦口 顶山街道 ] 东北至纵四路，西南至七里河大街，西北...,待售,32218,元/m²
银城KINMAQ+社区,[ 栖霞 马群 ] 石狮路与金马路交汇处（4号线与2号线金...,在售,19000,元/㎡起
碧桂园汤山源著,[ 江宁 汤山 ] 泉都大街以北、若水路以东地块，东至上...,在售,19428,元/㎡
新城璞樾钟山,[ 栖霞 马群 ] 石狮路,在售,42000,元/㎡
金科观天下,"[ 南京周边 句容 ] 宝华大道,近西部干线",在售,28000,元/㎡
翡翠天际,[ 雨花台 安德门 ] 东至现状道路，西至宁芜铁路，北至雨花...,在售,[],元/㎡
证大喜玛拉雅中心,"[ 雨花台 南京南站 ] 明城大道,近金阳东街",在售,25000,元/㎡起
招商1872ipark公寓,[ 栖霞 燕子矶 ] 宜春街8号,在售,19000,元/㎡起
花样年喜年中心,[ 鼓楼 小市 ] 河路道1号,在售,22000,元/㎡起
海尔双湖壹号公馆,[ 高淳 高淳 ] 芜太公路,在售,8300,元/㎡
禹洲嘉荟星岛,[ 雨花台 铁心桥 ] 春江路地铁站上盖,在售,34996,元/㎡
中建国熙公馆,[ 浦口 桥北 ] 安浦路71号,在售,28318,元/㎡
九龙湖别墅,[ 江宁 九龙湖 ] 清水亭西路188号,在售,24500,元/㎡
秦淮源筑,[ 溧水 溧水 ] 机场路与双塘路交汇处,在售,12200,元/㎡
华侨城翡翠天域,[ 栖霞 栖霞山 ] 工农路和疏港大道交汇处,在售,22017,元/㎡起
仙林印象,[ 南京周边 句容 ] 仙林东路20号,在售,14500,元/㎡
碧桂园中天东方骏庭,[ 南京周边 句容 ] 仙林大道与宝华大道交汇处,在售,18000,元/㎡
新城源山,[ 南京周边 句容 ] 宝华山国家森林公园北门向东,在售,15000,元/㎡
香山壹境,[ 南京周边 句容 ] 宝华大道,在售,13500,元/㎡
新湖仙林翠谷,[ 南京周边 句容 ] 仙林东路333号,在售,550,万元/套起
南京金奥缤润汇,[ 建邺 河西中部 ] 楠溪江东街81-85号,在售,40000,元/㎡
证大阅公馆,"[ 鼓楼 鼓楼滨江 ] 建宁路,近热河路",在售,34845,元/㎡
招商依云尚城,[ 南京周边 句容 ] 句容仙林大道与宝四路交叉口,在售,14000,元/㎡
通宇林景蘭园,[ 浦口 江浦街道 ] 七里桥北路以西，胡桥五路以南,在售,26546,元/㎡起
明发明博小镇,[ 南京周边 其他 ] 马鞍山博望新区博望大道88号,在售,6000,元/㎡起
蓝天星港花园,[ 江宁 禄口 ] 来凤路5号,在售,17000,元/㎡
碧桂园北站华府,[ 南京周边 滁州 ] 滁州汊河新区104国道旁,在售,9800,元/㎡起
通宇林景尊园,"[ 浦口 江浦街道 ] 新浦路,近康盛路",在售,27300,元/㎡
五矿澜悦栖原,[ 江宁 九龙湖 ] 双龙大道与学林东路交汇处西北角（天禧...,待售,26050,元/m²
