house_name,house_location,house_status,house_price,price_unit
嘉裕第六洲观澜云邸,[ 崇州 崇州 ] 羊马镇嘉洲路1019号,在售,5555,元/㎡起
新城悦隽盛世,[ 青白江 青白江 ] 大同路附近,在售,10700,元/㎡
和裕印象,[ 金堂 金堂 ] 天星路559号,在售,6100,元/㎡
雅居乐锦城,[ 新津 新津 ] 五津镇希望东路199号,在售,11600,元/㎡
龙湖上城,[ 金牛 梁家巷 ] 成华西街299号，一环内侧与人民北路交...,在售,19000,元/㎡
龙湖天宸原著,[ 武侯 外双楠 ] 武侯大道与智谷大道交汇处,在售,24000,元/㎡
格林城,[ 双流 华阳 ] 长顺大道一段100号,在售,14500,元/㎡
朗基香颂天府,[ 天府新区 眉山 ] 视高四川通用航空职业学院旁,在售,12000,元/㎡起
协信星鹭原,[ 双流 牧马山 ] 胜利镇白塔6组301,在售,10094,元/㎡起
林溪康城,"[ 龙泉驿 阳光城 ] 幸福大道,近西永路",在售,8200,元/㎡起
金科博翠天宸,[ 青白江 青白江 ] 凤祥大道与凤凰西三路交汇处（凤凰湖A...,在售,9000,元/㎡起
华邑宸居,[ 郫都 犀浦 ] 龙梓路（6号线梓潼宫站旁）,在售,17000,元/㎡
桂溪欧苑,[ 郫都 其他 ] 平安路6号,在售,11600,元/㎡
天府金融港,[ 天府新区 眉山 ] 天府新区天府大道视高段（天府大道与兰...,在售,14200,元/㎡
保利湖心岛四期美湖苑,"[ 新都 蜀龙路 ] 成金青快速通道 ,近成青立交",在售,11000,元/㎡起
北星城,"[ 金牛 天回 ] 天龙大道,近天音路",待售,15976,元/m²
中粮珑悦锦云,[ 成华 龙潭寺 ] 龙港路369号,在售,18000,元/㎡
置信国色天乡鹭湖宫10区,[ 温江 国色天乡 ] 江宁南路88号,在售,10000,元/㎡
金科领地博翠粼湖,[ 双流 东升 ] 迎春路五段凤翔湖旁,在售,16000,元/㎡起
思学园智能村,[ 新都 石油大学 ] 龙家湾巷136号,在售,8500,元/㎡
伊泰天骄,[ 锦江 东大街 ] 通宝街88号,在售,28500,元/㎡
御龙山,[ 成华 塔子山 ] 御风二路,在售,27000,元/㎡
中节能琅园,[ 金堂 金堂 ] 赵镇金琅街88号,在售,7000,元/㎡起
万科时光润园,[ 郫都 红光镇 ] 红光大道和广场路交汇处,在售,13500,元/㎡
天府国际凤凰城,[ 都江堰 都江堰 ] 天府大道555号,在售,6350,元/㎡
宝信青城,"[ 都江堰 青城山 ] 106省道,近聚青路",在售,12000,元/㎡
中南融创玖华台,[ 成华 建设路 ] 建设南路与建功路交汇处（近东郊记忆北...,待售,12500,元/m²
建发中央湾区,[ 天府新区 华阳 ] 武汉路西段1533号,在售,12000,元/㎡
青城上院,[ 崇州 崇州 ] 街子古镇金鱼街158号（街子古镇入口）,在售,8500,元/㎡起
花样年家天下,[ 双流 华阳 ] 天府五街与江安河交汇处（天府软件园E...,在售,13800,元/㎡起
朗基香樾府,[ 新都 大丰镇 ] 成都市北部新城新都区大丰街道先驱大道...,在售,12000,元/㎡
凤凰盛景,[ 青白江 青白江 ] 青白江区大弯凤翔大道1699号,在售,7600,元/㎡
蓝光雍锦丽府,[ 高新 神仙树 ] 丽都路757号,在售,19800,元/㎡
润富国际998,[ 高新 天府新城 ] 交子大道998号,在售,25000,元/㎡
天府金茂悦,[ 金堂 金堂 ] 赵镇金琅北街12号,在售,11500,元/㎡起
林肯郡,[ 大邑 大邑 ] 滨河路东段88号,在售,5200,元/㎡
蔚蓝卡地亚云墅,[ 郫都 郫县 ] 郫花路888号,待售,9533,元/m²
棠湖清江花语,[ 青白江 青白江 ] 青白江区红阳华金大道二段699号（公安...,在售,7000,元/㎡
香悦城,[ 高新 大源 ] 益州大道中段699号（天府一街与天府二...,在售,27000,元/㎡起
西街上院,[ 青白江 青白江 ] 金渊路81号,在售,6500,元/㎡起
鹭洲城邦,[ 金堂 金堂 ] 三星镇兴业路588号,在售,5500,元/㎡起
瀚城新天地,[ 青白江 青白江 ] 大湾学苑路218号,在售,7400,元/㎡
万象云庭,[ 蒲江 蒲江 ] 鹤山镇工业大道上段3号,在售,5980,元/㎡
北京城建龙樾湾,"[ 双流 东升 ] 双楠大道,近银河路",在售,14000,元/㎡起
祥荣城市绿洲,[ 大邑 大邑 ] 元通路南段268号,待售,9184,元/m²
明豪澜庭,[ 都江堰 都江堰 ] 蒲阳河畔（人工湖对面）,在售,7700,元/㎡
蜀郡清上居,[ 郫都 其他 ] 友爱镇平安路98号,待售,9850,元/m²
锦城悦庭,[ 高新 中和 ] 康和西一街199号,在售,14500,元/㎡
德商迎晖天玺,[ 成华 塔子山 ] 成都市成华区迎晖路,在售,21900,元/㎡起
圆中大溪地,价格,在售,13000,元/㎡
缤纷翡翠湾,[ 新都 斑竹园 ] 成都市北部商贸城竹韵大道（毗河旁）,待售,10677,元/m²
东骏湖景湾,[ 新都 川音 ] 马超东路555号,待售,10704,元/m²
慧德上院,[ 郫都 其他 ] 古城镇水梨村（铁路卫校旁）,待售,9850,元/m²
左岸名都,[ 龙泉驿 西河镇 ] 西江大道555号,待售,10000,元/㎡
新希望锦麟府,[ 龙泉驿 经开区 ] 车城西四路177号,在售,18500,元/㎡起
佳乐云锦,[ 金牛 五块石 ] 王贾路168号,待售,14240,元/m²
融侨悦蓉城,[ 新都 大丰镇 ] 北三环•南丰大道•地铁5号线（在建中...,待售,11542,元/m²
