house_name,house_location,house_status,house_price,price_unit
华润翡翠城,"[ 皇姑 皇姑 ] 青城山路,近黄河北大街",在售,12000,元/㎡
大都会公元,[ 皇姑 北行 ] 崇山路与怒江街交汇处北行600米,在售,19000,元/㎡
积水住宅裕沁听月轩,[ 浑南区 浑南区 ] 全运五路105号（全运南路南侧）,在售,17000,元/㎡
和泓长白府,[ 和平 长白 ] 长白二街与长白中路交汇处,待售,15929,元/m²
碧桂园公园印象,[ 浑南区 浑南区 ] 创新路33号,在售,200,万元/套起
五矿世家金城,[ 皇姑 东三台子 ] 黄河北大街,在售,9500,元/㎡
麓林春语,[ 沈北新区 沈北新区 ] 沈北路109号,在售,4800,元/㎡
积水裕沁府,[ 和平 和平 ] 吉安路42号,在售,25000,元/㎡
泰盈九如溪谷,[ 沈北新区 沈北新区 ] 人和街168号,在售,8200,元/㎡
和泰馨城,[ 于洪 于洪 ] 沈大路160号,在售,6400,元/㎡
华发全运首府,[ 浑南区 浑南区 ] 创新路516号（沈阳新南站旁）,在售,9500,元/㎡
融创唐轩上城,[ 沈北新区 沈北新区 ] 常州路27号,在售,5100,元/㎡
龙之梦畅园,[ 大东 东中街 ] 滂江街62号,在售,10000,元/㎡起
碧桂园珑悦,[ 大东 大东 ] 联合路和东陶路交汇处,在售,12000,元/㎡
步阳国际,[ 沈河 沈河 ] 文化东路8号,在售,8900,元/㎡
信达万科城,[ 浑南区 浑南区 ] 高深路,在售,13000,元/㎡起
旭辉璟宸府,[ 于洪 于洪新城 ] 细河南路与南阳湖二街交汇处,在售,11000,元/㎡
丽晶公馆,[ 于洪 西三台子 ] 黄河北大街108-1号,在售,10000,元/㎡
华府丹郡悦湖,[ 苏家屯 苏家屯 ] 南京南街1009号,在售,6500,元/㎡
春树广场,[ 铁西 铁西 ] 保工街北四路交汇处,在售,14000,元/㎡
万科千山府,[ 于洪 于洪 ] 怒江北街与千山西路交汇处西300米,在售,11900,元/㎡
富禹依云温泉小镇,[ 于洪 造化 ] 红兴路802号,在售,4500,元/㎡
保利和光尘樾,[ 浑南区 浑南区 ] 祝科东二街,待售,11293,元/m²
金沙巴黎花园,[ 沈北新区 沈北新区 ] 七星大街27号盛京桥南,在售,6500,元/㎡
中梁华宇学府壹号,[ 和平 和平 ] 胜利大街南十一马路交汇处,待售,13786,元/m²
奥林匹克花园三期漫步地中海,[ 浑南区 浑南区 ] 双园路269号,在售,10000,元/㎡起
市府和鸿广场,[ 浑南区 浑南区 ] 沈中大街与全运三路交汇处（沈阳市政府...,在售,12000,元/㎡
富禹依云蓝湾,[ 于洪 于洪广场 ] 黄海路与巢湖街交汇处南行700米,在售,9500,元/㎡
荣信森林里,[ 沈北新区 道义 ] 蒲昌路42号,在售,6200,元/㎡
三隆熙湖枫景,[ 铁西 经济技术开发区 ] 南十三号路10号,在售,6800,元/㎡
融创唐轩府,[ 沈北新区 道义 ] 沈北路16号,在售,9000,元/㎡
招商雍景湾,[ 于洪 于洪新城 ] 细河南路与南阳湖二街交汇处,在售,11000,元/㎡
金石小镇,[ 浑南区 浑南区 ] 全运五路,在售,13500,元/㎡起
陶瓷城公馆,[ 大东 陶瓷城 ] 东望街2号,在售,6100,元/㎡
太湖明珠花园Ⅱ期,[ 沈北新区 道义 ] 道义北大街蒲河路8号,在售,7500,元/㎡
澳海南樾府,[ 苏家屯 苏家屯 ] 南京南街与银杏路交汇（吉的堡幼儿园西...,在售,10000,元/㎡
信达万科如园,[ 沈河 东五里河 ] 文萃路83-1号,在售,16000,元/㎡起
保利紫荆公馆,[ 浑南区 浑南区 ] 智慧四街16号,待售,11581,元/m²
碧桂园银河城,[ 于洪 于洪新城 ] 汪河路111号,待售,9378,元/m²
河畔公馆,[ 浑南区 富民 ] 朗云街6-88号(富民桥东侧),待售,14168,元/m²
海逸铭筑,[ 于洪 于洪 ] 青城山路,待售,8467,元/m²
熙旺广场,[ 大东 大东 ] 联合路42号,在售,10000,元/㎡
沈阳富力院士廷,[ 沈北新区 蒲河 ] 蒲河大道98号尚柏奥莱旁,在售,5888,元/㎡
金辉江山云著,价格,在售,11700,元/㎡
新湖美丽洲,[ 于洪 造化 ] 造化街道关家村（西江北街与沈北开发大...,在售,148,万元/套
中旅万科城,[ 浑南区 浑南区 ] 双园路36号（赛特奥莱旁）,待售,11300,元/m²
金地峯汇,[ 沈河 南塔 ] 五爱街与文萃路交汇处南行50米,在售,25000,元/㎡起
会展壹号,[ 苏家屯 区中心 ] 南京南街1008号,待售,7243,元/m²
金地名著,[ 皇姑 皇姑 ] 鸭绿江街与铁山路交汇处,在售,14000,元/㎡
鲁班尚品,[ 沈北新区 道义 ] 沈北路35号,在售,6300,元/㎡
奕聪花园,[ 和平 和平 ] 振兴街45号,在售,16000,元/㎡
九洲御府,[ 和平 长白 ] 胜利南街888号,在售,20000,元/㎡
东亚翰林世家,[ 皇姑 首府新区 ] 陵园街39号,在售,11000,元/㎡
中铁丁香水岸,[ 于洪 荷兰村 ] 松山西路150号,在售,8500,元/㎡
新湖国际,[ 于洪 西三台子 ] 松山西路21号,在售,10000,元/㎡起
富力仙湖国际别墅,[ 浑南区 浑南区 ] 桃仙大街,在售,18000,元/㎡
恒大汇鑫山庄,[ 沈北新区 蒲河 ] 天时街与蒲北路交汇处西北,在售,10000,元/㎡
金科中南集美尚景,[ 铁西 经济技术开发区 ] 十号路（七号街地铁口南约500米）,待售,8400,元/m²
中南旭辉和樾,[ 铁西 铁西 ] 北一西路66号,在售,12000,元/㎡
融创臻园,[ 沈北新区 道义 ] 蒲新路13号,在售,7300,元/㎡
金沙库客,[ 铁西 经济技术开发区 ] 大明湖街18号,在售,9500,元/㎡
龙湖西府原著,[ 铁西 铁西 ] 沈辽路2号,在售,17000,元/㎡
新湖青蓝国际,[ 铁西 经济技术开发区 ] 中央大街27甲,在售,7200,元/㎡
百岁万汇城,[ 沈北新区 虎石台 ] 建设北一路54号,在售,5400,元/㎡
南华中环广场,[ 大东 东中街 ] 小东路135号,在售,15500,元/㎡
银基银河丽湾,[ 沈河 南塔 ] 沈水路600-17号,在售,12000,元/㎡
富禹依云澜汇,[ 浑南区 浑南区 ] 沈本大街与白塔河二路交汇处东,待售,11469,元/m²
万科翡翠滨江,[ 和平 和平 ] 领事馆路1号,待售,14083,元/m²
河畔新城品尚,[ 浑南区 富民 ] 朗云街6-88号,待售,13867,元/m²
名仕金融中心,[ 浑南区 浑南区 ] 浑南区全运路105号（全运路与智慧四街...,在售,11000,元/㎡
融创观澜壹号,[ 沈北新区 道义 ] 蒲新路26号（孝信街与蒲新路交汇处）,在售,8000,元/㎡
丽都水岸商住楼项目一期,[ 辽中 辽中镇 ] 浦东街道迎宾路26号,在售,4088,元/㎡
中南紫云集,[ 铁西 铁西 ] 建设中路与景星街交汇处北行50米,在售,19000,元/㎡
联祥大河原著,[ 沈北新区 蒲河 ] 蒲河路7号,在售,7300,元/㎡
世纪学府,[ 皇姑 皇姑 ] 淮河街11号,在售,16000,元/㎡
热高乐城,[ 沈阳周边 其他 ] 抚顺市高湾经济开发区高望路热高乐园对...,待售,4668,元/m²
华润置地润馨汇,[ 沈河 沈河 ] 小南街与东滨河路交汇处,待售,19843,元/m²
华润置地公元九里,[ 苏家屯 苏家屯 ] 沈阳市体育学院南行100米,待售,8200,元/m²
翔凤山水国际,[ 沈北新区 沈北新区 ] 沈北新区沈北路196号新城大道与人和街...,在售,6000,元/㎡
中梁首府,[ 铁西 经济技术开发区 ] 星海路与昆明湖街交汇处,待售,8229,元/m²
龙湖双珑原著,[ 浑南区 浑南区 ] 农大东行800米,待售,11707,元/m²
华润置地萬象府,[ 铁西 铁西广场 ] 北二西路与重工街交汇处 （铁西区委区...,在售,13000,元/㎡
亚泰城,[ 沈北新区 道义 ] 蒲河路35号,在售,7300,元/㎡
益华御才湾二期,[ 浑南区 浑南区 ] 新明街1号,在售,9000,元/㎡起
ONEWORLD世界城,"[ 和平 和平 ] 南京北街,近市府大路",待售,14083,元/m²
步阳江南甲第,[ 沈北新区 道义 ] 正良四路6-5号,在售,9500,元/㎡起
步阳江南壹号,[ 沈北新区 沈北新区 ] 蒲昌路31号,在售,5888,元/㎡起
金科集美天城,[ 皇姑 皇姑 ] 文大路和滦河街交汇处,在售,8700,元/㎡
荣盛城,[ 皇姑 东三台子 ] 梅江北街148号,在售,10000,元/㎡
龙湖天宸原著,"[ 铁西 铁西 ] 洪湖一街,近沈新路",在售,13000,元/㎡
沈阳雅居乐花园,[ 沈北新区 道义 ] 蒲南路1号,在售,7500,元/㎡
万科翡翠臻园,[ 浑南区 浑南区 ] 高深路,在售,14500,元/㎡
府城名著,[ 浑南区 浑南区 ] 全运五路318号,在售,10000,元/㎡
远洋大河宸章,[ 沈河 沈河 ] 沈水路,在售,19000,元/㎡
沈阳招商局大厦,[ 浑南区 浑南区 ] 地铁2号线奥体中心B出口处,在售,12000,元/㎡
锦联新经济产业园,[ 浑南区 浑南区 ] 沈阳市浑南区创新路155号,在售,8000,元/㎡起
小石城梦想小镇商铺,[ 浑南区 浑南区 ] 沈营大街与全运路交汇处西行300米,在售,18000,元/㎡起
龙湖花千树商铺,[ 铁西 铁西 ] 北四西路7号,在售,20000,元/㎡
沈阳禹州广场写字楼,[ 浑南区 浑南区 ] 沈阳市浑南区天坛南街8号,在售,8500,元/㎡起
华强广场,[ 和平 三好 ] 三好街,在售,10000,元/㎡
金地悦峰商铺,[ 皇姑 北陵 ] 鸭绿江街27号,在售,21000,元/㎡
皇家御湾,[ 沈北新区 道义 ] 蒲河路5号,在售,5300,元/㎡
首创琥珀湾,[ 浑南区 浑南区 ] 棋盘山鸟岛东500米,在售,8500,元/㎡起
中房上东花墅7.3 期,价格,在售,14000,元/㎡
浦江波士湾壹号,[ 浑南区 浑河桥 ] 三义街2-3号,在售,8500,元/㎡起
友谊时代广场,[ 沈河 东五里河 ] 青年大街197号,在售,12000,元/㎡
沈阳城开中心ART,[ 和平 太原街 ] 太原南街7号,在售,12000,元/㎡起
玫瑰园别墅四期,[ 浑南区 浑南区 ] 桃仙大街100号,在售,12000,元/㎡
华沃滨河湾,[ 于洪 于洪新城 ] 南阳湖二街45号,在售,8000,元/㎡
凯德俪锦城听澜郡,[ 于洪 红旗台 ] 玉沙街6号,在售,6000,元/㎡
红豆杉温泉花园,[ 沈北新区 沈北新区 ] 蒲河路22号,在售,5700,元/㎡起
