house_title,house_mode,house_area,house_level,house_year,house_address,house_totalprice,house_unitprice
东客站附近 准现房 世界500强开发 双地铁口2.7号线便捷,3室2厅,80m²,低层(共28层),2018年建造,"梦魔方广场  
                    成华-东客站-金马河路,近中环路锦绣大道段",87万,10875元/m²
标准竖厅套三，现在首付仅需22万，背后就是名校，速度捡漏咯,3室2厅,81m²,低层(共32层),2018年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",85万,10444元/m²
地铁口.套三双卫.清水房随意装修.有钥匙.随时看房.新盘代理,3室2厅,89m²,高层(共33层),2015年建造,"圣采泊尚  
                    新都-大丰-敬成路501号",90万,10112元/m²
单价一万 近实验外国语学校 近涌泉地铁口,3室2厅,89m²,高层(共30层),2013年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10227元/m²
交通便利  近地铁口 佳年华刚需楼盘，性价比超高的清水套三,3室2厅,81m²,低层(共31层),2016年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",84.8万,10469元/m²
龙潭寺 通透户型 标准套三 低单价 居家福地 诚心急售,3室2厅,96m²,高层(共6层),2009年建造,"居家福地  
                    成华-龙潭寺-宝耳路9号",98万,10128元/m²
晶宝塞纳国际精装套三，实得面积105平，房东诚心急售,3室2厅,88m²,中层(共25层),2015年建造,"晶宝塞纳国际  
                    郫都-红光-犀团路999号",92万,10455元/m²
清水套三 单价才一万多点 惊爆价格 房东诚心卖,3室2厅,89m²,高层(共29层),2016年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10236元/m²
郫县红光塞纳国际套三精装修带家具家电 邻有轨电车 三所大学,3室2厅,88m²,中层(共25层),2015年建造,"晶宝塞纳国际  
                    郫都-红光-犀团路999号",90万,10227元/m²
专员优惠点6万起 外地户也可买 101绝美精装 山景刚需户型,3室2厅,101m²,中层(共12层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",81.8万,8099元/m²
万达精装新房产权101平 独 家资源 舒适电梯观景房 首付低,3室1厅,101m²,中层(共12层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",81万,8020元/m²
品质大盘 中间楼层 佳年华清水套三双卫 户型端正 看房有钥匙,3室2厅,89m²,低层(共33层),2017年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10337元/m²
沙湾 光荣北路标准套三 低楼层 不临街 带装修可直接入住,3室1厅,80m²,中层(共7层),1999年建造,"光荣北路9号院  
                    金牛-沙湾-光荣北路9号",90万,11250元/m²
凤凰站C3出口300米 温馨三房 满两年 欢迎实地看房,3室2厅,83m²,低层(共34层),2015年建造,"合能珍宝琥珀  
                    温江-光华新城-凤凰南大街174号",95万,11446元/m²
都江堰 万达城 101平小套三 适合多口之家 优惠6W起,3室2厅,101m²,中层(共14层),2019年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",95.6万,9465元/m²
幸福东方白桦林，loft跃层，层高4.8米，买 一层送一层,3室2厅,80m²,中层(共30层),2018年建造,"九峰国际公寓  
                    龙泉驿-西河-成洛大道5888号",95万,11875元/m²
蓝光千亩大盘精装现房类住宅公寓带学位水电气三通,3室2厅,82m²,中层(共23层),2018年建造,"蓝光TMAX  
                    双流-航空港-黄河中路二段",82万,10000元/m²
建发第五大道天府新区麓山板块，麓山地铁口，三面采光户型。,3室2厅,99m²,高层(共16层),2017年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",90万,9091元/m²
地铁口精装套三 视野无遮挡 采光好 房东急售,3室2厅,89m²,高层(共28层),2015年建造,"地铁首座  
                    温江-温江大学城-学府路南段133号",98万,11011元/m²
银诚现房 已满两年 精装套三 家具家电全送 地铁西河站,3室2厅,91m²,低层(共34层),2015年建造,"银诚东方国际  
                    龙泉驿-西河-龙跃商业街78号",95万,10397元/m²
地铁旁 全新精装套二 满2年 无高额税费 看房方便,2室2厅,80m²,低层(共34层),2014年建造,"传化国际新城  
                    新都-新都老城-物流大道666号",83万,10289元/m²
恒大城旁 泰和 实得面积110平的大套三 对中庭,3室2厅,99m²,中层(共33层),2015年建造,"泰合新光华府  
                    温江-温江城区-温泉大道二段,近凤溪大道",95万,9522元/m²
财大旁  金强大学城  精装小套三  拎包入住  满2年,3室2厅,85m²,中层(共18层),2008年建造,"金强大学城  
                    温江-温江大学城-南熏大道三段855号",82万,9647元/m²
东客站附近 准现房 世界500强开发 双地铁口2.7号线便捷,3室2厅,80m²,低层(共28层),2018年建造,"梦魔方广场  
                    成华-东客站-金马河路,近中环路锦绣大道段",87万,10875元/m²
精装龙泉70年新盘 首付三成 直接认购  随时看房,3室2厅,93m²,中层(共40层),2018年建造,"华府幸福城  
                    龙泉驿-阳光城-幸福大道333号",92万,9892元/m²
（房源真实）精装套三，首付27万，价格可谈，带花园，临近地铁,3室2厅,83m²,高层(共8层),1996年建造,"翠贤居  
                    金牛-解放路-马鞍北路39号",91万,10943元/m²
（房源真实）精装套三，环境优美，近地铁待拆迁，房东急降7万,3室2厅,83m²,高层(共8层),1996年建造,"翠贤居  
                    金牛-解放路-马鞍北路39号",91万,10943元/m²
天府新区兴隆湖大学里70年住宅新盘发售8800起,3室2厅,87m²,中层(共33层),2018年建造,"天府大学里  
                    成都周边-仁寿-花海大道一段10号",90万,10345元/m²
万达满两年清水套三价格可以谈西南朝向业主诚心出售有钥匙,3室2厅,86m²,高层(共32层),2015年建造,"蜀都万达广场  
                    郫都-郫筒-望丛东路347号",89万,10253元/m²
天府新区 麓山大道 惊爆价9000起 家门口就是地铁,3室2厅,99m²,高层(共25层),2019年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",90万,9091元/m²
万达旁品质楼盘 置信逸都标准套三单 户型方正 可按揭 满两年,3室2厅,93m²,低层(共33层),2014年建造,"置信逸都D区  
                    郫都-郫筒-凉水井东路98号",90万,9677元/m²
精装套三带暖气片览山洋房 有鬼电车交通便利高速口一公里采光好,3室2厅,104m²,低层(共12层),2017年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",88万,8462元/m²
公园 优品道商场 学校 各种配套 双流位置樶号的楼盘精装急售,3室2厅,84m²,高层(共14层),2010年建造,"东立国际花城  
                    双流-东升-航都大街四段60号",98万,11642元/m²
三天必卖！地铁口，精装套四，从未入住过，中间楼层采光好！,3室2厅,93m²,中层(共32层),2012年建造,"龙光君悦华庭  
                    郫都-郫筒-和平南二街123号",95万,10190元/m²
视高，兴隆湖南，大学城旁。一号线沿线，临公园，临商场,3室2厅,87m²,中层(共30层),2017年建造,"天府大学里  
                    成都周边-仁寿-花海大道一段10号",96万,11034元/m²
急售单价9000买望丛祠地铁口奥特莱斯50米精装套三带大平台,3室2厅,93m²,低层(共33层),2015年建造,"花样年龙年国际中心  
                    郫都-郫筒-郫花路299号",88万,9442元/m²
地铁口开发商装修小套三单卫带入户对中庭采光巴适东北朝向,3室2厅,88m²,中层(共32层),2014年建造,"富力桃园二期  
                    新都-新都老城-兴城大道108号",97万,10998元/m²
地铁旁 95万标准套三 满二 首付30即可拥有标准三房,3室2厅,87m²,中层(共26层),2014年建造,"爵领欧城  
                    新都-五龙山-江陵路335号",90万,10305元/m²
绿地国际花都简装套三临近地铁口房东这边诚心出售,3室2厅,89m²,高层(共32层),2012年建造,"绿地国际花都三期  
                    郫都-郫筒-创智南一路39号",90万,10056元/m²
抢手万达别墅 产权95实得180 带前后花园.买两层送一层,3室2厅,95m²,共1层,2015年建造,"成都万达城(别墅)  
                    都江堰-都江堰-铁军路588号",140万,14737元/m²
天府新区西区1年社保和成都户籍即可精装洋房龙湖领地中交,3室2厅,99m²,中层(共8层),2017年建造,"龙光玖龙府  
                    新津-新津-花源大道333号",99万,10000元/m²
公园榕郡 朝中庭 2梯4户 带大阳台 首付30万,3室2厅,88m²,中层(共18层),2010年建造,"公园榕郡  
                    郫都-犀浦-国宁东路419号",98万,11086元/m²
住家精装修套三，谕亭小学 森林公园，团结地铁口 500米范围,3室2厅,99m²,中层(共26层),2012年建造,"香域中央  
                    新都-新都新城-蜀龙大道中段333号",95万,9594元/m²
四季映像套三出售 纯清水 带独立餐厅 满两年 可贷款,3室2厅,81m²,低层(共18层),2012年建造,"合能四季映像  
                    龙泉驿-大面-青台山路333号",99万,12146元/m²
西门清水大套三 户型方正 随时看房,3室2厅,86m²,高层(共29层),2014年建造,"花样年龙年国际中心  
                    郫都-郫筒-郫花路299号",80万,9276元/m²
特价 特价 8900麓山大道二段 首付30万买进麓山板块,3室2厅,99m²,高层(共25层),2019年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",89万,8990元/m²
看毗河，朝正南，家装大套二，房东诚心，产权满2，首付25万,2室2厅,80m²,低层(共34层),2014年建造,"传化国际新城  
                    新都-新都老城-物流大道666号",83万,10260元/m²
单价9千买中冶品质小区 正对别墅，清水可自己装修喜欢的风格,3室2厅,88m²,中层(共33层),2014年建造,"中冶中央公园  
                    郫都-郫筒-西梨路一段708号",80万,9026元/m²
开发商 装修小套三 中间楼层 地铁旁 户型反正 价格便宜,3室2厅,88m²,中层(共32层),2015年建造,"富力桃园二期  
                    新都-新都老城-兴城大道108号",97万,11023元/m²
双流新城公园旁东立国际精装套三下楼欧尚户型方正 采光无遮挡,3室2厅,85m²,高层(共14层),2014年建造,"东立国际花城  
                    双流-东升-航都大街四段60号",98万,11470元/m²
售楼部直售滨江彼岸84平精装套三（首付三成）楼层可选双地铁口,3室1厅,84m²,中层(共26层),2017年建造,"滨江彼岸  
                    郫都-犀浦-犀安路666号",96万,11429元/m²
精装龙泉70年新盘 首付三成 直接认购  随时看房,3室2厅,93m²,中层(共40层),2018年建造,"华府幸福城  
                    龙泉驿-阳光城-幸福大道333号",92万,9892元/m²
凤凰山一号（中层朝南）清水套三（无营业税）随时看房,3室2厅,95m²,高层(共23层),2013年建造,"凤凰山1号  
                    新都-大丰-大天路1689号",90万,9414元/m²
地铁口，精装套三，正对中庭，采光好，有钥匙随时看房,3室2厅,90m²,低层(共37层),2017年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",108万,12000元/m²
房东换房急售  满二年装修套三  随时看房,3室2厅,83m²,中层(共27层),2015年建造,"合能珍宝琥珀  
                    温江-光华新城-凤凰南大街174号",95万,11442元/m²
香城小学石油大学成都医学双铁口 清水三房朝南新城区不临街,3室2厅,86m²,低层(共18层),2010年建造,"邑品天都  
                    新都-新都新城-万和北路1号",99万,11480元/m²
精装修不限 购 外地人可买 学位房直读龙江路 成都知名中学,3室2厅,109m²,中层(共11层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",90万,8212元/m²
单价八千多买湖景生态洋房，高端 品质小区速来,3室2厅,99m²,中层(共10层),2017年建造,"半岛云著  
                    新都-斑竹园-古窑路",86万,8687元/m²
房子对中庭，不临街，采光好，套三双卫的,3室2厅,88m²,中层(共33层),2014年建造,"蓝润光华春天  
                    温江-光华新城-鸡鸣路588号",98万,11136元/m²
地铁口 精装套三空房 中间楼层采光巴适 房东诚心出售随时看房,3室2厅,86m²,中层(共23层),2015年建造,"花样年龙年国际中心  
                    郫都-郫筒-郫花路299号",86万,9922元/m²
业主急售 家乐福旁瀚城国际 精装套二 拎包入住 采光好随时看,2室2厅,87m²,中层(共32层),2012年建造,"瀚城国际一期  
                    青白江-青白江-凤凰西六路28号",80万,9195元/m²
地铁口 清水大套三 带衣帽间 正常首付 雄飞生活广场,3室2厅,117m²,中层(共40层),2015年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",130万,11026元/m²
（房源真实）万达精装套三 带家具家电 准新房 可随时看房,3室2厅,89m²,高层(共32层),2014年建造,"蜀都万达华府  
                    郫都-郫筒-望丛东路347号",99万,11124元/m²
龙潭寺，地铁小区，中装套三，带双阳台，负公摊，正读电子科大,3室2厅,97m²,高层(共6层),2009年建造,"居家福地  
                    成华-龙潭寺-宝耳路9号",98万,10103元/m²
首付13万买 天府新区地铁口 单价8800元 核心区域啥都有,3室2厅,99m²,中层(共32层),2018年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",87万,8788元/m²
温江新城地铁百米，景观大套二，主卧带落地转角大阳台，满2诚售,2室2厅,97m²,中层(共30层),2013年建造,"光华国际  
                    温江-温江城区-人和路188号",96万,9872元/m²
（房源真实）套三，一环内待拆迁，靠近3号线，对中庭，价格可谈,3室2厅,83m²,高层(共8层),1996年建造,"翠贤居  
                    金牛-解放路-马鞍北路39号",91万,10943元/m²
万达城8000多精装 首付20来万 读龙小 七中 坐有鬼电车,3室2厅,101m²,中层(共12层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",80万,7921元/m²
东门100米 水电气三通类住宅公寓  带小区绿化,3室2厅,95m²,中层(共30层),2018年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",66万,6947元/m²
地铁三号线锦水河站200米处，满二无税，可按揭，套三带入户,3室2厅,88m²,中层(共32层),2011年建造,"富力桃园二期  
                    新都-新都老城-兴城大道108号",96万,10909元/m²
精致套三 新婚夫妻户型 首付仅需20万 优惠6万送境外旅游,3室2厅,93m²,中层(共12层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",75万,8065元/m²
80万一口价逸景苑中层清水套三实际130多平带入户和大阳台,3室2厅,97m²,中层(共26层),2014年建造,"置信逸景苑  
                    彭州-彭州-协和路258号",80万,8247元/m²
